run_id,t,coverage,corpus_size
run_6,0.83,4201,24
run_1,0.9,4481,23
run_6,0.9,4201,24
run_1,0.94,4481,23
run_2,0.94,4553,26
run_6,0.94,4201,24
run_1,0.96,4481,23
run_2,0.96,4553,26
run_6,0.96,4201,24
run_7,0.96,4269,21
run_1,0.97,4481,23
run_2,0.97,4553,26
run_6,0.97,4201,24
run_7,0.97,4269,21
run_9,0.97,4517,23
run_1,0.98,4481,23
run_2,0.98,4553,26
run_4,0.98,4232,21
run_6,0.98,4201,24
run_7,0.98,4269,21
run_9,0.98,4517,23
run_1,0.99,4481,23
run_2,0.99,4553,26
run_4,0.99,4232,21
run_6,0.99,4201,24
run_7,0.99,4269,21
run_9,0.99,4517,23
run_10,0.99,4505,22
run_1,1.02,4481,23
run_2,1.02,4553,26
run_4,1.02,4232,21
run_5,1.02,4734,20
run_6,1.02,4201,24
run_7,1.02,4269,21
run_9,1.02,4517,23
run_10,1.02,4505,22
run_1,1.04,4481,23
run_2,1.04,4553,26
run_3,1.04,4535,23
run_4,1.04,4232,21
run_5,1.04,4734,20
run_6,1.04,4201,24
run_7,1.04,4269,21
run_9,1.04,4517,23
run_10,1.04,4505,22
run_1,1.05,4481,23
run_2,1.05,4553,26
run_3,1.05,4535,23
run_4,1.05,4232,21
run_5,1.05,4734,20
run_6,1.05,4201,24
run_7,1.05,4269,21
run_8,1.05,4532,23
run_9,1.05,4517,23
run_10,1.05,4505,22
run_1,1.68,4481,23
run_2,1.68,4553,26
run_3,1.68,4535,23
run_4,1.68,4232,21
run_5,1.68,4734,20
run_6,1.68,4708,24
run_7,1.68,4269,21
run_8,1.68,4532,23
run_9,1.68,4517,23
run_10,1.68,4505,22
run_1,1.82,4723,23
run_2,1.82,4553,26
run_3,1.82,4535,23
run_4,1.82,4232,21
run_5,1.82,4734,20
run_6,1.82,4708,24
run_7,1.82,4269,21
run_8,1.82,4532,23
run_9,1.82,4517,23
run_10,1.82,4505,22
run_1,1.91,4723,23
run_2,1.91,4553,26
run_3,1.91,4535,23
run_4,1.91,4673,21
run_5,1.91,4734,20
run_6,1.91,4708,24
run_7,1.91,4269,21
run_8,1.91,4532,23
run_9,1.91,4517,23
run_10,1.91,4505,22
run_1,1.93,4723,23
run_2,1.93,4553,26
run_3,1.93,4535,23
run_4,1.93,4673,21
run_5,1.93,4734,20
run_6,1.93,4708,24
run_7,1.93,4707,21
run_8,1.93,4532,23
run_9,1.93,4517,23
run_10,1.93,4505,22
run_1,1.94,4723,23
run_2,1.94,4553,26
run_3,1.94,4535,23
run_4,1.94,4673,21
run_5,1.94,4734,20
run_6,1.94,4708,24
run_7,1.94,4707,21
run_8,1.94,4532,23
run_9,1.94,4517,23
run_10,1.94,4505,22
run_1,1.95,4723,23
run_2,1.95,4699,26
run_3,1.95,4535,23
run_4,1.95,4673,21
run_5,1.95,4734,20
run_6,1.95,4708,24
run_7,1.95,4707,21
run_8,1.95,4532,23
run_9,1.95,4517,23
run_10,1.95,4505,22
run_1,2.06,4723,23
run_2,2.06,4699,26
run_3,2.06,4535,23
run_4,2.06,4673,21
run_5,2.06,4734,20
run_6,2.06,4708,24
run_7,2.06,4707,21
run_8,2.06,4549,23
run_9,2.06,4517,23
run_10,2.06,4505,22
run_1,2.07,4723,23
run_2,2.07,4699,26
run_3,2.07,4535,23
run_4,2.07,4673,21
run_5,2.07,4734,20
run_6,2.07,4708,24
run_7,2.07,4707,21
run_8,2.07,4549,23
run_9,2.07,4588,23
run_10,2.07,4505,22
run_1,2.27,4723,23
run_2,2.27,4699,26
run_3,2.27,4714,23
run_4,2.27,4673,21
run_5,2.27,4734,20
run_6,2.27,4708,24
run_7,2.27,4707,21
run_8,2.27,4549,23
run_9,2.27,4588,23
run_10,2.27,4505,22
run_1,2.28,4723,23
run_2,2.28,4699,26
run_3,2.28,4714,23
run_4,2.28,4673,21
run_5,2.28,4745,19
run_6,2.28,4708,24
run_7,2.28,4707,21
run_8,2.28,4549,23
run_9,2.28,4588,23
run_10,2.28,4505,22
run_1,2.56,4723,23
run_2,2.56,4699,26
run_3,2.56,4714,23
run_4,2.56,4673,21
run_5,2.56,4745,19
run_6,2.56,4749,24
run_7,2.56,4707,21
run_8,2.56,4549,23
run_9,2.56,4588,23
run_10,2.56,4505,22
run_1,2.83,4777,23
run_2,2.83,4699,26
run_3,2.83,4714,23
run_4,2.83,4673,21
run_5,2.83,4745,19
run_6,2.83,4749,24
run_7,2.83,4707,21
run_8,2.83,4549,23
run_9,2.83,4588,23
run_10,2.83,4505,22
run_1,2.85,4777,23
run_2,2.85,4699,26
run_3,2.85,4714,23
run_4,2.85,4673,21
run_5,2.85,4745,19
run_6,2.85,4749,24
run_7,2.85,4707,21
run_8,2.85,4549,23
run_9,2.85,4588,23
run_10,2.85,4553,22
run_1,2.87,4777,23
run_2,2.87,4699,26
run_3,2.87,4714,23
run_4,2.87,4673,21
run_5,2.87,4745,19
run_6,2.87,4749,24
run_7,2.87,4707,21
run_8,2.87,4549,23
run_9,2.87,4588,23
run_10,2.87,4553,22
run_1,2.91,4777,23
run_2,2.91,4761,26
run_3,2.91,4714,23
run_4,2.91,4713,21
run_5,2.91,4745,19
run_6,2.91,4749,24
run_7,2.91,4707,21
run_8,2.91,4549,23
run_9,2.91,4588,23
run_10,2.91,4553,22
run_1,3.15,4777,23
run_2,3.15,4761,26
run_3,3.15,4714,23
run_4,3.15,4713,21
run_5,3.15,4745,19
run_6,3.15,4749,24
run_7,3.15,4707,21
run_8,3.15,4706,23
run_9,3.15,4656,23
run_10,3.15,4553,22
run_1,3.26,4777,23
run_2,3.26,4761,26
run_3,3.26,4714,22
run_4,3.26,4713,21
run_5,3.26,4769,19
run_6,3.26,4749,24
run_7,3.26,4707,21
run_8,3.26,4706,23
run_9,3.26,4656,23
run_10,3.26,4553,22
run_1,3.54,4777,23
run_2,3.54,4761,26
run_3,3.54,4714,22
run_4,3.54,4713,21
run_5,3.54,4769,19
run_6,3.54,4768,24
run_7,3.54,4707,21
run_8,3.54,4706,23
run_9,3.54,4656,23
run_10,3.54,4553,22
run_1,3.78,4777,23
run_2,3.78,4761,26
run_3,3.78,4714,22
run_4,3.78,4713,21
run_5,3.78,4769,19
run_6,3.78,4768,24
run_7,3.78,4721,21
run_8,3.78,4706,23
run_9,3.78,4656,23
run_10,3.78,4553,22
run_1,3.84,4777,23
run_2,3.84,4761,26
run_3,3.84,4714,22
run_4,3.84,4713,21
run_5,3.84,4769,19
run_6,3.84,4768,24
run_7,3.84,4721,21
run_8,3.84,4706,23
run_9,3.84,4656,23
run_10,3.84,4553,22
run_1,3.86,4793,23
run_2,3.86,4761,26
run_3,3.86,4714,22
run_4,3.86,4713,21
run_5,3.86,4769,19
run_6,3.86,4768,24
run_7,3.86,4721,21
run_8,3.86,4706,23
run_9,3.86,4656,23
run_10,3.86,4553,22
run_1,3.88,4793,23
run_2,3.88,4761,26
run_3,3.88,4714,22
run_4,3.88,4713,21
run_5,3.88,4769,19
run_6,3.88,4768,24
run_7,3.88,4721,21
run_8,3.88,4706,23
run_9,3.88,4656,23
run_10,3.88,4707,21
run_1,3.95,4793,23
run_2,3.95,4769,26
run_3,3.95,4714,22
run_4,3.95,4713,21
run_5,3.95,4769,19
run_6,3.95,4768,24
run_7,3.95,4721,21
run_8,3.95,4706,23
run_9,3.95,4656,23
run_10,3.95,4707,21
run_1,4.21,4793,23
run_2,4.21,4769,26
run_3,4.21,4714,22
run_4,4.21,4713,21
run_5,4.21,4769,19
run_6,4.21,4768,24
run_7,4.21,4721,21
run_8,4.21,4724,23
run_9,4.21,4656,23
run_10,4.21,4707,21
run_1,4.25,4793,23
run_2,4.25,4769,26
run_3,4.25,4714,22
run_4,4.25,4713,21
run_5,4.25,4769,19
run_6,4.25,4768,24
run_7,4.25,4721,21
run_8,4.25,4724,23
run_9,4.25,4770,23
run_10,4.25,4707,21
run_1,4.28,4793,23
run_2,4.28,4769,26
run_3,4.28,4714,22
run_4,4.28,4713,21
run_5,4.28,4773,19
run_6,4.28,4768,24
run_7,4.28,4721,21
run_8,4.28,4724,23
run_9,4.28,4770,23
run_10,4.28,4707,21
run_1,4.49,4793,23
run_2,4.49,4769,26
run_3,4.49,4714,22
run_4,4.49,4713,21
run_5,4.49,4773,19
run_6,4.49,4772,24
run_7,4.49,4721,21
run_8,4.49,4724,23
run_9,4.49,4770,23
run_10,4.49,4707,21
run_1,4.71,4793,23
run_2,4.71,4769,26
run_3,4.71,4714,22
run_4,4.71,4713,21
run_5,4.71,4773,19
run_6,4.71,4772,24
run_7,4.71,4721,21
run_8,4.71,4724,23
run_9,4.71,4770,23
run_10,4.71,4707,21
run_1,4.74,4793,23
run_2,4.74,4769,26
run_3,4.74,4714,22
run_4,4.74,4721,21
run_5,4.74,4773,19
run_6,4.74,4772,24
run_7,4.74,4721,21
