run_id,t,coverage,corpus_size
run_4,0.1,1757,93
run_4,0.11,1757,93
run_5,0.11,1757,93
run_8,0.11,1757,93
run_9,0.11,1757,93
run_4,0.12,1757,93
run_5,0.12,1757,93
run_6,0.12,1757,93
run_7,0.12,1757,93
run_8,0.12,1757,93
run_9,0.12,1757,93
run_10,0.12,1757,93
run_1,0.13,1757,93
run_4,0.13,1757,93
run_5,0.13,1757,93
run_6,0.13,1757,93
run_7,0.13,1757,93
run_8,0.13,1757,93
run_9,0.13,1757,93
run_10,0.13,1757,93
run_1,0.15,1757,93
run_3,0.15,1757,93
run_4,0.15,1757,93
run_5,0.15,1757,93
run_6,0.15,1757,93
run_7,0.15,1757,93
run_8,0.15,1757,93
run_9,0.15,1757,93
run_10,0.15,1757,93
run_1,0.17,1757,93
run_2,0.17,1757,93
run_3,0.17,1757,93
run_4,0.17,1757,93
run_5,0.17,1757,93
run_6,0.17,1757,93
run_7,0.17,1757,93
run_8,0.17,1757,93
run_9,0.17,1757,93
run_10,0.17,1757,93
run_1,0.21,1757,93
run_2,0.21,1757,93
run_3,0.21,1757,93
run_4,0.21,1961,129
run_5,0.21,1757,93
run_6,0.21,1757,93
run_7,0.21,1757,93
run_8,0.21,1757,93
run_9,0.21,1757,93
run_10,0.21,1757,93
run_1,0.22,1757,93
run_2,0.22,1757,93
run_3,0.22,1757,93
run_4,0.22,1961,129
run_5,0.22,1961,129
run_6,0.22,1961,129
run_7,0.22,1757,93
run_8,0.22,1961,129
run_9,0.22,1961,129
run_10,0.22,1757,93
run_1,0.23,1757,93
run_2,0.23,1757,93
run_3,0.23,1757,93
run_4,0.23,1961,129
run_5,0.23,1961,129
run_6,0.23,1961,129
run_7,0.23,1757,93
run_8,0.23,1961,129
run_9,0.23,1961,129
run_10,0.23,1961,129
run_1,0.24,1757,93
run_2,0.24,1757,93
run_3,0.24,1757,93
run_4,0.24,1961,129
run_5,0.24,1961,129
run_6,0.24,1961,129
run_7,0.24,1961,129
run_8,0.24,1961,129
run_9,0.24,1961,129
run_10,0.24,1961,129
run_1,0.25,1961,129
run_2,0.25,1757,93
run_3,0.25,1961,129
run_4,0.25,1961,129
run_5,0.25,1961,129
run_6,0.25,1961,129
run_7,0.25,1961,129
run_8,0.25,1961,129
run_9,0.25,1961,129
run_10,0.25,1961,129
run_1,0.29,1961,129
run_2,0.29,1961,129
run_3,0.29,1961,129
run_4,0.29,1961,129
run_5,0.29,1961,129
run_6,0.29,1961,129
run_7,0.29,1961,129
run_8,0.29,1961,129
run_9,0.29,1961,129
run_10,0.29,1961,129
run_1,0.33,1961,129
run_2,0.33,1961,129
run_3,0.33,1961,129
run_4,0.33,2142,162
run_5,0.33,2142,162
run_6,0.33,1961,129
run_7,0.33,1961,129
run_8,0.33,2142,162
run_9,0.33,2142,162
run_10,0.33,1961,129
run_1,0.34,1961,129
run_2,0.34,1961,129
run_3,0.34,1961,129
run_4,0.34,2142,162
run_5,0.34,2142,162
run_6,0.34,2142,162
run_7,0.34,1961,129
run_8,0.34,2142,162
run_9,0.34,2142,162
run_10,0.34,1961,129
run_1,0.35,1961,129
run_2,0.35,1961,129
run_3,0.35,1961,129
run_4,0.35,2142,162
run_5,0.35,2142,162
run_6,0.35,2142,162
run_7,0.35,2142,162
run_8,0.35,2142,162
run_9,0.35,2142,162
run_10,0.35,2142,162
run_1,0.37,1961,129
run_2,0.37,1961,129
run_3,0.37,2142,162
run_4,0.37,2142,162
run_5,0.37,2142,162
run_6,0.37,2142,162
run_7,0.37,2142,162
run_8,0.37,2142,162
run_9,0.37,2142,162
run_10,0.37,2142,162
run_1,0.4,2142,162
run_2,0.4,2142,162
run_3,0.4,2142,162
run_4,0.4,2142,162
run_5,0.4,2142,162
run_6,0.4,2142,162
run_7,0.4,2142,162
run_8,0.4,2142,162
run_9,0.4,2142,162
run_10,0.4,2142,162
run_1,0.44,2142,162
run_2,0.44,2142,162
run_3,0.44,2142,162
run_4,0.44,2265,188
run_5,0.44,2265,188
run_6,0.44,2142,162
run_7,0.44,2142,162
run_8,0.44,2265,188
run_9,0.44,2142,162
run_10,0.44,2142,162
run_1,0.45,2142,162
run_2,0.45,2142,162
run_3,0.45,2142,162
run_4,0.45,2265,188
run_5,0.45,2265,188
run_6,0.45,2265,188
run_7,0.45,2142,162
run_8,0.45,2265,188
run_9,0.45,2265,188
run_10,0.45,2142,162
run_1,0.46,2142,162
run_2,0.46,2142,162
run_3,0.46,2142,162
