profile,final_coverage,final_corpus_size,growth_rate,structural_score,semantic_score,start_coverage,duration
default,7527,1331,0.57,4,3,7493,59.32
yaml_semantic_heavy,7493,1317,0.42,4,6,7468,59.15
yaml_structural_heavy,7468,1309,1.27,8,3,7392,59.71
structural_semantic_genetic,7392,1285,1.32,4,3,7313,59.72
bytes_semantic_genetic,7313,1267,0.15,0,3,7304,59.77
bytes_structural_genetic,7304,1270,0.45,4,0,7277,59.87
bytes_structural_semantic,7277,1269,1.19,4,3,7206,59.71
semantic_genetic,7199,1248,0.22,0,3,7186,59.34
structural_genetic,7186,1248,3.87,4,0,6955,59.65
structural_semantic,6952,1189,7.63,4,3,6496,59.78
bytes_genetic,6496,1095,0.77,0,0,6450,59.81
bytes_semantic,6450,1092,0.22,0,3,6437,59.75
bytes_structural,6437,1113,3.73,4,0,6214,59.79
genetic_only,6214,1071,5.99,0,0,5856,59.78
semantic_only,5853,941,0.3,0,3,5835,59.77
structural_only,5834,1049,51.78,4,0,2735,59.85
bytes_only,2654,370,17.22,0,0,1623,59.86
