=== Fuzzer run 1 ===
[*] Exiting with code 1
=== Fuzzer run 1 ===
NEW    run: 2 ( 985/s), ft: 4531 (493/s), corp: 24 (55b), len: 12/14, t: 0s, mem: 35mb
NEW    run: 248 (1335/s), ft: 4641 (597/s), corp: 24 (57b), len:  2/14, t: 0s, mem: 35mb
NEW    run: 569 (1378/s), ft: 4644 (276/s), corp: 24 (59b), len:  2/14, t: 0s, mem: 35mb
REDUCE run: 724 (1372/s), ft: 4644 (216/s), corp: 24 (52b), len:  5/14, t: 1s, mem: 36mb
REDUCE run: 916 (1366/s), ft: 4644 (170/s), corp: 24 (50b), len:  3/14, t: 1s, mem: 36mb
NEW    run: 1522 (1374/s), ft: 4645 (104/s), corp: 24 (52b), len:  2/14, t: 1s, mem: 37mb
NEW    run: 2398 (1390/s), ft: 4787 (149/s), corp: 24 (54b), len:  2/14, t: 2s, mem: 38mb
NEW    run: 2524 (1383/s), ft: 4801 (149/s), corp: 24 (56b), len:  2/14, t: 2s, mem: 38mb
REDUCE run: 2705 (1372/s), ft: 4801 (137/s), corp: 24 (55b), len:  2/14, t: 2s, mem: 38mb
REDUCE run: 3467 (1380/s), ft: 4801 (108/s), corp: 24 (54b), len:  1/14, t: 3s, mem: 40mb
NEW    run: 4453 (1389/s), ft: 4805 (86/s), corp: 24 (56b), len:  2/14, t: 3s, mem: 41mb
NEW    run: 5129 (1382/s), ft: 4809 (75/s), corp: 24 (58b), len:  2/14, t: 4s, mem: 41mb
NEW    run: 6006 (1354/s), ft: 4812 (64/s), corp: 24 (60b), len:  2/14, t: 4s, mem: 42mb
NEW    run: 6152 (1354/s), ft: 4813 (62/s), corp: 24 (62b), len:  2/14, t: 5s, mem: 42mb
NEW    run: 8283 (1342/s), ft: 4818 (47/s), corp: 24 (64b), len:  2/14, t: 6s, mem: 47mb
NEW    run: 8652 (1342/s), ft: 4822 (45/s), corp: 24 (66b), len:  2/14, t: 6s, mem: 47mb
NEW    run: 9323 (1341/s), ft: 4826 (43/s), corp: 24 (68b), len:  2/14, t: 7s, mem: 48mb
NEW    run: 9454 (1340/s), ft: 4830 (43/s), corp: 24 (70b), len:  2/14, t: 7s, mem: 48mb
NEW    run: 9475 (1340/s), ft: 4834 (43/s), corp: 24 (72b), len:  2/14, t: 7s, mem: 48mb
NEW    run: 9621 (1337/s), ft: 4838 (43/s), corp: 24 (74b), len:  2/14, t: 7s, mem: 48mb
NEW    run: 9642 (1338/s), ft: 4842 (43/s), corp: 24 (76b), len:  2/14, t: 7s, mem: 48mb
NEW    run: 10183 (1338/s), ft: 4846 (42/s), corp: 24 (78b), len:  2/14, t: 8s, mem: 49mb
